source,target,relationship_type,method,confidence,evidence
166170,47/2010/QH12,SUA_DOI_BO_SUNG,rule_extraction,1.0,"3. Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 hết hiệu lực kể từ ngày Luật này có hiệu lực thi hành, t..."
166170,17/2017/QH14,SUA_DOI_BO_SUNG,rule_extraction,1.0,"3. Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 hết hiệu lực kể từ ngày Luật này có hiệu lực thi hành, trừ quy định tại các khoản 1, 2, 3, 4, 8, 9, 12 và 14 Điều 210 c..."
166170,42/2017/QH14,THAM_CHIEU,rule_extraction,0.95,6. Tài sản bảo đảm của khoản nợ xấu là dự án bất động sản đã được thu giữ theo quy định tại Điều 7 của Nghị quyết số 42/2017/QH14 về thí điểm xử lý nợ xấu của các tổ chức tín dụng (sau đây gọi là Nghị quyết số 42/2017/QH14) hoặc đang thực hiện thủ t...
166170,29/2023/QH15,THAM_CHIEU,rule_extraction,0.95,"...nhượng phải đáp ứng điều kiện quy định tại các điểm a, d, đ, g và h khoản 1 Điều 40 của Luật Kinh doanh bất động sản số 29/2023/QH15 và phải có quyết định giao đất, cho thuê đất của cơ quan nhà nước có thẩm quyền;"
112025,67/2014/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,67/2014/NĐ-CP 1. Đại lý bảo hiểm bán bảo hiểm liên kết đơn vị phải đáp ứng các điều kiện sau:
112025,45/2007/NĐ-CP,THAM_CHIEU,gemini_classification,0.9,2. Nghị định số 45/2007/NĐ-CP
112025,123/2011/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,123/2011/NĐ-CP
112025,68/2014/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,68/2014/NĐ-CP
112025,46/2007/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,46/2007/NĐ-CP
38128,25692,THAM_CHIEU,rule_extraction,0.95,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ;
