entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
ENT_COQUAN_004,CoQuan,Quốc hội,Quốc hội,166170,original,1.0,Metadata co_quan_ban_hanh: Quốc hội
ENT_NGUOIKY_011,NguoiKy,Vương Đình Huệ,Vương Đình Huệ,166170,original,1.0,Metadata nguoi_ky: Vương Đình Huệ (Chủ tịch Quốc hội)
ENT_LINHVUC_010,LinhVuc,Tín dụng,Tín dụng,166170,original,1.0,Metadata linh_vuc: Tín dụng
ENT_COQUAN_002,CoQuan,Chính phủ,Chính phủ,112025,original,1.0,Metadata co_quan_ban_hanh: Chính phủ
ENT_NGUOIKY_004,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,112025,original,1.0,Metadata nguoi_ky: Nguyễn Xuân Phúc (Thủ tướng)
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,38128,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_013,NguoiKy,Đào Minh Tú,Đào Minh Tú,38128,original,1.0,Metadata nguoi_ky: Đào Minh Tú (Phó Thống đốc)
ENT_LINHVUC_006,LinhVuc,Phát hành và kho quỹ,Phát hành và kho quỹ,38128,original,1.0,Metadata linh_vuc: Phát hành và kho quỹ
ENT_COQUAN_004,CoQuan,Quốc hội,Quốc hội,26750,original,1.0,Metadata co_quan_ban_hanh: Quốc hội
ENT_NGUOIKY_002,NguoiKy,Nguyễn Phú Trọng,Nguyễn Phú Trọng,26750,original,1.0,Metadata nguoi_ky: Nguyễn Phú Trọng (Chủ tịch Quốc hội)
ENT_COQUAN_002,CoQuan,Chính phủ,Chính phủ,163441,original,1.0,Metadata co_quan_ban_hanh: Chính phủ
ENT_NGUOIKY_001,NguoiKy,Lê Minh Khái,Lê Minh Khái,163441,original,1.0,Metadata nguoi_ky: Lê Minh Khái (Phó Thủ tướng Chính phủ)
ENT_LINHVUC_001,LinhVuc,Bảo hiểm,Bảo hiểm,163441,original,1.0,Metadata linh_vuc: Bảo hiểm
ENT_COQUAN_002,CoQuan,Chính phủ,Chính phủ,146468,original,1.0,Metadata co_quan_ban_hanh: Chính phủ
ENT_NGUOIKY_004,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,146468,original,1.0,Metadata nguoi_ky: Nguyễn Xuân Phúc (Thủ tướng)
ENT_LINHVUC_002,LinhVuc,Chứng khoán,Chứng khoán,146468,original,1.0,Metadata linh_vuc: Chứng khoán
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,168220,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_013,NguoiKy,Đào Minh Tú,Đào Minh Tú,168220,original,1.0,Metadata nguoi_ky: Đào Minh Tú (Phó Thống đốc)
ENT_LINHVUC_009,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",168220,original,1.0,"Metadata linh_vuc: Thanh tra, giám sát ngân hàng"
ENT_COQUAN_002,CoQuan,Chính phủ,Chính phủ,133858,original,1.0,Metadata co_quan_ban_hanh: Chính phủ
ENT_NGUOIKY_004,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,133858,original,1.0,Metadata nguoi_ky: Nguyễn Xuân Phúc (Thủ tướng)
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,169221,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_007,NguoiKy,Phạm Thanh Hà,Phạm Thanh Hà,169221,original,1.0,Metadata nguoi_ky: Phạm Thanh Hà (Phó Thống đốc)
ENT_LINHVUC_008,LinhVuc,Quản lý ngoại hối,Quản lý ngoại hối,169221,original,1.0,Metadata linh_vuc: Quản lý ngoại hối
ENT_COQUAN_002,CoQuan,Chính phủ,Chính phủ,95652,original,1.0,Metadata co_quan_ban_hanh: Chính phủ
ENT_NGUOIKY_003,NguoiKy,Nguyễn Tấn Dũng,Nguyễn Tấn Dũng,95652,original,1.0,Metadata nguoi_ky: Nguyễn Tấn Dũng (Thủ tướng Chính phủ)
